'01-Mar','1CA','M88','13:20','14:45','01:25','ATL','1609','PNS'
'01-Mar','1CA','M88','13:20','14:43','01:23','CLT','1101','ATL'
'01-Mar','1CA','M88','13:20','14:44','01:24','BOS','1377','LGA'
'01-Mar','1CA','M88','13:20','16:34','03:14','JFK','1811','MCO'
'01-Mar','1CA','M88','13:21','16:10','02:49','ATL','1611','SAT'
'01-Mar','1CA','M88','13:21','15:16','01:55','ATL','1616','PBI'
'01-Mar','1CA','M88','13:25','15:05','01:40','ATL','1294','RDU'
'01-Mar','1CA','M88','13:25','15:14','01:49','ATL','1954','DCA'
'01-Mar','1CA','M88','13:25','16:27','03:02','ATL','0357','MBJ'
'01-Mar','1CA','M88','13:25','16:05','02:40','EWR','2009','ATL'
'01-Mar','1CA','M88','13:30','15:28','01:58','ATL','1876','BWI'
'01-Mar','1CA','M88','13:30','15:07','01:37','ATL','1223','RSW'
'01-Mar','1CA','M88','13:30','14:42','01:12','LGA','1374','BOS'
'01-Mar','1CA','M88','13:30','15:10','01:40','TPA','2060','ATL'
'01-Mar','1CA','M88','13:30','16:30','03:00','FLL','1252','LGA'
'01-Mar','1CA','M88','13:30','16:20','02:50','ATL','0529','CUN'
'01-Mar','1CA','M88','13:31','15:30','01:59','ATL','1985','MIA'
'01-Mar','1CA','M88','13:35','17:14','03:39','BOS','2097','TPA'
'01-Mar','1CA','M88','13:35','15:48','02:13','ATL','1006','PHL'
'01-Mar','1CA','M88','13:35','15:48','02:13','ATL','2006','EWR'
'01-Mar','1CA','M88','13:35','15:06','01:31','PNS','1938','ATL'
'01-Mar','1CA','M88','13:35','16:17','02:42','ATL','1915','DFW'
'01-Mar','1CA','M88','13:40','15:42','02:02','ATL','1813','STL'
'01-Mar','1CA','M88','13:42','15:49','02:07','ATL','1612','BUF'
'01-Mar','1CA','M88','13:45','15:30','01:45','ATL','1844','MEM'
'01-Mar','1CA','M88','13:50','16:25','02:35','CUN','0530','ATL'
'01-Mar','1CA','M88','14:00','16:39','02:39','MCO','1118','LGA'
'01-Mar','1CA','M88','14:05','16:20','02:15','CVG','1507','TPA'
'01-Mar','1CA','M88','14:05','16:45','02:40','CVG','1003','MIA'
'01-Mar','1CA','M88','14:06','16:22','02:16','CVG','1257','MCO'
'01-Mar','1CA','M88','14:10','16:54','02:44','CVG','1165','FLL'
'01-Mar','1CA','M88','14:15','16:43','02:28','CVG','1543','RSW'
'01-Mar','1CA','M88','14:25','16:12','01:47','ATL','1956','DCA'
'01-Mar','1CA','M88','14:30','18:04','03:34','GDL','0688','ATL'
'01-Mar','1CA','M88','14:30','16:53','02:23','ATL','1696','BDL'
'01-Mar','1CA','M88','14:30','15:47','01:17','BOS','1379','LGA'
'01-Mar','1CA','M88','14:30','17:36','03:06','BOS','1857','ATL'
'01-Mar','1CA','M88','14:30','15:49','01:19','LGA','1376','BOS'
'01-Mar','1CA','M88','14:34','16:31','01:57','ATL','1636','IAD'
'01-Mar','1CA','M88','14:35','16:08','01:33','RDU','1703','ATL'
'01-Mar','1CA','M88','14:36','16:25','01:49','ATL','1842','PIT'
'01-Mar','1CA','M88','14:36','16:23','01:47','ATL','1706','SRQ'
'01-Mar','1CA','M88','14:38','16:24','01:46','ATL','1882','RIC'
'01-Mar','1CA','M88','14:40','16:48','02:08','ATL','1987','MIA'
'01-Mar','1CA','M88','14:40','17:05','02:25','ATL','2008','EWR'
'01-Mar','1CA','M88','14:40','17:56','03:16','ATL','0409','POP'
'01-Mar','1CA','M88','14:42','18:20','03:38','ATL','0543','PUJ'
'01-Mar','1CA','M88','14:45','16:47','02:02','ATL','1878','BWI'
'01-Mar','1CA','M88','14:45','16:48','02:03','ORF','1113','ATL'
'01-Mar','1CA','M88','14:45','17:29','02:44','ATL','1917','DFW'
'01-Mar','1CA','M88','14:45','15:55','01:10','ATL','1653','SAV'
'01-Mar','1CA','M88','14:45','16:10','01:25','ATL','1619','CLT'
'01-Mar','1CA','M88','14:47','16:25','01:38','ATL','1717','DAB'
'01-Mar','1CA','M88','14:50','17:49','02:59','ABQ','1056','ATL'
'01-Mar','1CA','M88','14:50','17:47','02:57','ELP','1782','ATL'
'01-Mar','1CA','M88','14:50','17:25','02:35','ATL','1320','JFK'
'01-Mar','1CA','M88','14:50','16:45','01:55','ATL','1234','ORF'
'01-Mar','1CA','M88','14:50','16:25','01:35','ATL','1610','RDU'
'01-Mar','1CA','M88','14:55','16:54','01:59','BWI','1881','ATL'
'01-Mar','1CA','M88','14:55','16:23','01:28','MSY','1690','ATL'
'01-Mar','1CA','M88','14:55','17:49','02:54','ATL','0687','GCM'
'01-Mar','1CA','M88','14:55','17:37','02:42','ATL','1854','BOS'
'01-Mar','1CA','M88','14:56','16:44','01:48','ATL','1662','CMH'
